index,entity,supplier,ml_score,composite_score,tier,flags,shap_top3,legal_citations,fraud_label
162,Microfinance and Small Loans Centre (MASLOC),Unknown,4.8,18.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],1
163,Bank of Ghana (BoG),Unknown,1.8,14.2,🟢 MONITOR,"['Supplier holds 75.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '25% variation rate — elevated above normal threshold']","['supplier_risk_score decreases fraud risk (impact: 1.749)', 'entity_frequency decreases fraud risk (impact: 1.705)', 'supplier_frequency decreases fraud risk (impact: 0.949)']",['S.3 Act 663 (Transparency and Accountability)'],0
164,Bank of Ghana (BoG),Pafad Engineering and Construction Limited (Pafad Engineering),0.8,1.8,🟢 MONITOR,['25% variation rate — elevated above normal threshold'],"['supplier_risk_score decreases fraud risk (impact: 4.229)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'entity_frequency decreases fraud risk (impact: 0.636)']",['No specific violations flagged'],0
165,National Council for Curriculum and Assessment (NaCCA),Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
166,Ghana National Gas Company (GNGC),Unknown,2.5,31.8,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Entity variation abuse rate: 100.0%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.543)', 'supplier_risk_score decreases fraud risk (impact: 1.833)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
167,University of Ghana (UG),Unknown,0.3,19.6,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 55.6% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['entity_frequency decreases fraud risk (impact: 2.107)', 'supplier_risk_score decreases fraud risk (impact: 2.036)', 'is_sole_source decreases fraud risk (impact: 0.785)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",0
168,State Interests and Governance Authority (SIGA),"CDI Solutions, an event management firm",0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
169,National Petroleum Authority (NPA),Messrs. Argus Media Limited (Argus Media),0.6,13.2,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.161)', 'entity_frequency decreases fraud risk (impact: 0.935)', 'supplier_frequency decreases fraud risk (impact: 0.892)']",['No specific violations flagged'],0
170,Ghana Airport Company Ltd. (GACL),Unknown,1.8,14.2,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.323)', 'supplier_risk_score decreases fraud risk (impact: 1.718)', 'method_abuse_score decreases fraud risk (impact: 0.435)']",['S.3 Act 663 (Transparency and Accountability)'],0
171,National Petroleum Authority (NPA),Unknown,15.0,31.0,🟢 MONITOR,"['Supplier holds 41.7% of entity awards — concentration risk', 'Entity variation abuse rate: 33.3%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 1.601)', 'supplier_risk_score decreases fraud risk (impact: 1.568)', 'award_concentration increases fraud risk (impact: 0.582)']",['S.3 Act 663 (Transparency and Accountability)'],0
172,National Petroleum Authority (NPA),Unknown,3.5,30.9,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 41.7% of entity awards — concentration risk', 'Entity variation abuse rate: 33.3%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.924)', 'entity_frequency decreases fraud risk (impact: 1.601)', 'is_sole_source decreases fraud risk (impact: 0.901)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",0
173,Ghana Cocoa Board (COCOBOD),Messrs. TL Africa,99.4,58.3,🔴 ESCALATE,"['Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', 'Supplier appears in 1 Auditor-General finding(s)', '1 of 3 contracts confirmed fraudulent (33% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 1.00 — entity under sustained scrutiny']","['supplier_risk_score increases fraud risk (impact: 5.360)', 'award_concentration increases fraud risk (impact: 1.012)', 'method_abuse_score decreases fraud risk (impact: 0.468)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",1
174,Ministry of Energy,Messrs. Ronor Motors Ghana Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
175,Ghana Airport Company Ltd. (GACL),Unknown,1.8,14.2,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.323)', 'supplier_risk_score decreases fraud risk (impact: 1.718)', 'method_abuse_score decreases fraud risk (impact: 0.435)']",['S.3 Act 663 (Transparency and Accountability)'],0
176,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Architectural & Engineering Services Limited,1.0,15.4,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['S.92-93 Act 663 (Procurement Offences)'],0
177,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. M&B Engineering Limited,1.0,21.4,🟢 MONITOR,"['Variation issued on audit-flagged contract (S.59 Act 663)', 'Supplier appears in 1 Auditor-General finding(s)', '100% of contracts have variations — inflation risk', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']","['S.92-93 Act 663 (Procurement Offences)', 'S.87 Act 663 (Contract Variations)']",0
178,Northern Development Authority (NDA),Messrs. Associated Beaver Consult,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
179,Ministry of Foreign Affairs and Regional Integration (MFARI),Messrs. EMH Global Limited (EGL),0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
180,Northern Electricity Distribution Company (NEDCo),Messrs. Carlo King Enterprise Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
181,Bulk Oil Storage Transportation Company Ltd. (BOST),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
182,Bulk Oil Storage Transportation Company Ltd. (BOST),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
183,National Cardiothoracic Centre (NCTC),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
184,National Cardiothoracic Centre (NCTC),Unknown,0.7,26.0,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.894)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
185,Social Security and National Insurance Trust (SSNIT),KAF Electricals,0.2,0.1,🟢 MONITOR,['No specific flags raised'],"['supplier_risk_score decreases fraud risk (impact: 4.069)', 'entity_frequency decreases fraud risk (impact: 1.084)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
186,Ministry of Health (MoH),Unknown,0.7,21.8,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.50 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.625)', 'supplier_risk_score decreases fraud risk (impact: 1.952)', 'is_sole_source decreases fraud risk (impact: 0.939)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
187,Social Security and National Insurance Trust (SSNIT),Messrs. Margins ID Systems,0.2,0.1,🟢 MONITOR,['No specific flags raised'],"['supplier_risk_score decreases fraud risk (impact: 4.069)', 'entity_frequency decreases fraud risk (impact: 1.084)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
188,Bank of Ghana (BoG),Unknown,6.5,16.1,🟢 MONITOR,"['Supplier holds 75.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '25% variation rate — elevated above normal threshold']","['entity_frequency decreases fraud risk (impact: 1.760)', 'supplier_risk_score decreases fraud risk (impact: 1.640)', 'variation_abuse_rate increases fraud risk (impact: 0.257)']",['S.3 Act 663 (Transparency and Accountability)'],0
189,Ghana Water Company Limited (GWCL),Interglobal Partners Limited (Interglobal Partners),0.2,3.1,🟢 MONITOR,['Supplier holds 50.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
190,Korle Bu Teaching Hospital (KBTH),Unknown,0.6,21.7,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 57.1% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 2.064)', 'supplier_risk_score decreases fraud risk (impact: 1.960)', 'is_sole_source decreases fraud risk (impact: 0.939)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
191,Ghana Education Services (GES),Messrs. Primetime Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
192,Ghana Water Company Limited (GWCL),Messrs. Blessfield Company Limited (BCL),0.2,3.1,🟢 MONITOR,['Supplier holds 50.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
193,Ghana National Petroleum Corporation (GNPC),Unknown,52.0,32.8,🟢 MONITOR,"['Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['award_concentration increases fraud risk (impact: 1.816)', 'supplier_risk_score decreases fraud risk (impact: 1.165)', 'method_abuse_score decreases fraud risk (impact: 0.647)']",['S.3 Act 663 (Transparency and Accountability)'],0
194,Ghana National Gas Company (Ghana Gas),Unknown,3.2,16.8,🟢 MONITOR,"['Supplier holds 44.4% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 of 6 contracts confirmed fraudulent (16% fraud rate)']","['supplier_risk_score decreases fraud risk (impact: 1.677)', 'entity_frequency decreases fraud risk (impact: 1.492)', 'method_abuse_score decreases fraud risk (impact: 0.514)']",['S.3 Act 663 (Transparency and Accountability)'],0
195,Bulk Oil Storage and Transportation Company Limited (BOST),Unknown,7.1,28.3,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.912)', 'entity_frequency decreases fraud risk (impact: 1.393)', 'is_sole_source decreases fraud risk (impact: 0.901)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.92-93 Act 663 (Procurement Offences)']",0
196,Bulk Oil Storage and Transportation Company Limited (BOST),Messrs. Apex Health Insurance,1.0,15.4,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['S.92-93 Act 663 (Procurement Offences)'],0
197,Ministry of Finance (MoF),Mr. Ben Gustave Barth,0.9,15.9,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.077)', 'entity_frequency decreases fraud risk (impact: 1.059)', 'award_concentration increases fraud risk (impact: 0.503)']",['S.92-93 Act 663 (Procurement Offences)'],0
198,Controller and Accountant General’s Department (CAGD),Netsolutions Ghana Limited,1.3,27.5,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Entity variation abuse rate: 100.0%', '100% of awards were sole source — bypasses competition (S.38-41)', '100% of contracts have variations — inflation risk', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.651)', 'award_concentration decreases fraud risk (impact: 1.875)', 'entity_frequency increases fraud risk (impact: 0.689)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
199,Ghana Cocoa Board (Cocoa Board),Messrs. Life Care Technology Ghana Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
200,Ministry of Youth and Sports (MOYS),Unknown,2.5,31.8,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Entity variation abuse rate: 100.0%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.543)', 'supplier_risk_score decreases fraud risk (impact: 1.833)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
201,Bulk Oil Storage and Transportation company Limited (BOST),Unknown,1.3,26.3,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.585)', 'supplier_risk_score decreases fraud risk (impact: 1.872)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
202,Securities and Exchange Commission (SEC),Unknown,4.9,20.5,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Entity variation abuse rate: 100.0%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.145)', 'supplier_risk_score decreases fraud risk (impact: 1.674)', 'entity_frequency increases fraud risk (impact: 0.981)']","['S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
203,Minerals Commission,Vanguard Assurance Company Limited,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
204,Ghana National Gas Company (GNPC),Messrs. Charterhouse Production Limited,99.6,51.3,🔴 ESCALATE,"['Supplier linked to 1 confirmed fraud case(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', 'Average supplier risk score: 1.00 — entity consistently awards to high-risk suppliers']","['supplier_risk_score increases fraud risk (impact: 5.035)', 'entity_frequency increases fraud risk (impact: 0.744)', 'supplier_frequency decreases fraud risk (impact: 0.522)']",['No specific violations flagged'],1
205,Ghana College of Physicians and Surgeons,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
206,Scholarship Secretariat,KLM Cargo,0.4,4.7,🟢 MONITOR,"['Supplier holds 66.7% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.897)', 'entity_frequency decreases fraud risk (impact: 0.833)', 'method_abuse_score decreases fraud risk (impact: 0.486)']",['S.3 Act 663 (Transparency and Accountability)'],0
207,Youth Employment Agency (YEA),Unknown,2.5,31.8,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Entity variation abuse rate: 100.0%', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.543)', 'supplier_risk_score decreases fraud risk (impact: 1.833)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
